name,location,city,country,region,commodities
"Midwest Steel & Alloys Inc","3400 Industrial Blvd","Detroit","USA","North America","Cold-rolled steel, Galvanized sheet, Stainless steel"
"Rheinmetall Precision Castings","Am Werk 1","Düsseldorf","Germany","Europe","Aluminum castings, Die castings, Engine blocks"
"Shenzhen Precision Components","Bao'an Industrial Zone","Shenzhen","China","Asia","PCB assemblies, Connectors, Enclosures"
"BASF Industrial Chemicals","Ludwigshafen Site","Ludwigshafen","Germany","Europe","Polyurethane precursors, Adhesives, Coatings"
"Dow Packaging Solutions","Styron Division","Midland","USA","North America","Polystyrene, PET resin, Plastic films"
"SKF Bearings North America","Colonial Way","Lansdale","USA","North America","Ball bearings, Roller bearings, Linear guides"
"Sumitomo Rubber Industrial","Kobe Plant","Kobe","Japan","Asia","Industrial hose, Conveyor belts, Rubber seals"
"Linde Industrial Gases","Gasstraße 2","Munich","Germany","Europe","Nitrogen, Argon, Oxygen, CO2"
"ArcelorMittal Automotive","Sagar Mala Road","Mumbai","India","Asia","Auto-grade steel, HR coil, CR sheet"
"Foxconn Precision Manufacturing","Longhua Science Park","Shenzhen","China","Asia","Metal stampings, CNC parts, Assemblies"
"Henkel Adhesives Technologies","Henkelstraße 67","Düsseldorf","Germany","Europe","Structural adhesives, Sealants, Surface treatments"
"Saint-Gobain Abrasives","Worcester Plant","Worcester","USA","North America","Grinding wheels, Coated abrasives, Cutting discs"
"ThyssenKrupp Materials NA","Renaissance Parkway","Southfield","USA","North America","Titanium, Nickel alloys, Tool steel"
"Toray Industries Plastics","Nagoya Works","Nagoya","Japan","Asia","Engineering plastics, Carbon fiber, Films"
"PPG Industrial Coatings","PPG Place","Pittsburgh","USA","North America","Primers, Powder coatings, E-coat"
